id,n_of_groups,gym,health,food,active,unhealthy,no_group,gym_time,health_time,active_time,food_time,unhealthy_time
0,4.0,True,True,False,False,True,False,12,12,-1,-1,8
1,5.0,False,False,False,True,False,False,-1,-1,-1,13,-1
2,4.0,False,False,True,False,True,False,-1,-1,10,-1,10
3,3.0,False,True,False,False,False,False,-1,9,-1,-1,-1
4,7.0,False,True,False,False,False,False,-1,9,-1,-1,-1
5,5.0,False,True,False,True,False,False,-1,12,-1,11,-1
6,4.0,False,False,True,False,False,False,-1,-1,10,-1,-1
7,5.0,False,True,True,False,False,False,-1,10,10,-1,-1
8,7.0,True,False,False,True,False,False,10,-1,-1,10,-1
9,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
10,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
11,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
12,4.0,False,False,True,True,False,False,-1,-1,9,11,-1
13,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
14,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
15,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
16,1.0,False,True,False,False,False,False,-1,9,-1,-1,-1
17,4.0,False,False,False,True,False,False,-1,-1,-1,11,-1
18,4.0,False,False,False,True,False,False,-1,-1,-1,10,-1
19,2.0,False,False,False,False,True,False,-1,-1,-1,-1,13
20,6.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
21,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
22,5.0,True,False,False,True,True,False,10,-1,-1,12,14
23,5.0,True,False,False,False,False,False,11,-1,-1,-1,-1
24,4.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
25,5.0,False,True,False,True,False,False,-1,12,-1,11,-1
26,8.0,True,False,False,True,False,False,10,-1,-1,11,-1
27,4.0,False,False,False,True,False,False,-1,-1,-1,11,-1
28,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
29,2.0,False,True,False,False,False,False,-1,14,-1,-1,-1
30,6.0,True,True,False,True,False,False,12,12,-1,11,-1
31,8.0,True,True,False,False,False,False,10,12,-1,-1,-1
32,3.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
33,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
34,2.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
35,5.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
36,9.0,True,True,False,True,True,False,10,10,-1,11,9
37,5.0,False,False,True,False,False,False,-1,-1,13,-1,-1
38,1.0,False,False,False,False,False,True,-1,-1,-1,-1,-1
