target,dob,location_population,new_city,"pop_change_10,000",Squash,Bodybuilding,Gym,Cardio,Rowing,Crossfit,Stretching,Badminton,Fitness,Power bike,Weightlifting,Kettleballs,sport,count,non_sport_hobbies,education,n_of_groups,gym,health,food,active,unhealthy,no_group,gym_time,health_time,active_time,food_time,unhealthy_time,sex_female,sex_male,sex_missing,location_Bydgoszcz,location_Gdańsk,location_Katowice,location_Kraków,location_Lublin,location_Other,location_Poznań,location_Szczecin,location_Warszawa,location_Wrocław,location_Łódź,occupation_Administrative and commercial managers,"occupation_Agricultural, forestry and fishery labourers","occupation_Armed forces occupations, other ranks",occupation_Assemblers,"occupation_Building and related trades workers, excluding electricians",occupation_Business and administration associate professionals,occupation_Business and administration professionals,"occupation_Chief executives, senior officials and legislators",occupation_Cleaners and helpers,occupation_Commissioned armed forces officers,occupation_Customer services clerks,occupation_Drivers and mobile plant operators,occupation_Electrical and electronic trades workers,occupation_Food preparation assistants,"occupation_Food processing, wood working, garment and other craft and related trades workers",occupation_General and keyboard clerks,occupation_Handicraft and printing workers,occupation_Health associate professionals,occupation_Health professionals,"occupation_Hospitality, retail and other services managers",occupation_Information and communications technicians,occupation_Information and communications technology professionals,"occupation_Labourers in mining, construction, manufacturing and transport","occupation_Legal, social and cultural professionals","occupation_Legal, social, cultural and related associate professionals",occupation_Market-oriented skilled agricultural workers,"occupation_Market-oriented skilled forestry, fishery and hunting workers","occupation_Metal, machinery and related trades workers",occupation_Non-commissioned armed forces officers,occupation_Numerical and material recording clerks,occupation_Other clerical support workers,occupation_Personal care workers,occupation_Personal service workers,occupation_Production and specialised services managers,occupation_Protective services workers,occupation_Refuse workers and other elementary workers,occupation_Sales workers,occupation_Science and engineering associate professionals,occupation_Science and engineering professionals,occupation_Stationary plant and machine operators,occupation_Street and related sales and service workers,"occupation_Subsistence farmers, fishers, hunters and gatherers",occupation_Teaching professionals,"friends_number_(-0.001, 70.0]","friends_number_(70.0, 115.0]","friends_number_(115.0, 143.0]","friends_number_(143.0, 166.0]","friends_number_(166.0, 183.0]","friends_number_(183.0, 199.0]","friends_number_(199.0, 217.0]","friends_number_(217.0, 234.0]","friends_number_(234.0, 256.0]","friends_number_(256.0, 284.0]","friends_number_(284.0, 328.0]","friends_number_(328.0, 1000.0]",relationship_status_Divorced,relationship_status_In relationship,relationship_status_Married,relationship_status_Married with kids,relationship_status_Missing,relationship_status_Single,cc_type_American Express,cc_type_Mastercard,cc_type_Missing,cc_type_Revolut,cc_type_Visa
1,38,22732,False,0,False,False,False,False,False,False,False,False,True,False,False,False,False,1,1,-1,4,True,True,False,False,True,False,12,12,-1,-1,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,49,18331,False,0,False,False,False,False,False,False,False,False,False,False,False,False,True,3,3,-1,5,False,False,False,True,False,False,-1,-1,-1,13,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,20,4879,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,2,2,3,4,False,False,True,False,True,False,-1,-1,10,-1,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,28,352313,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,3,3,False,True,False,False,False,False,-1,9,-1,-1,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,45,2322,True,-54,False,False,False,False,False,False,False,False,True,False,False,False,False,3,3,5,7,False,True,False,False,False,False,-1,9,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,44,2865,True,-176,False,False,False,False,True,False,False,False,False,False,False,False,False,3,3,3,5,False,True,False,True,False,False,-1,12,-1,11,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,39,1764615,False,0,False,False,True,False,False,False,False,False,False,False,False,False,True,4,4,-1,4,False,False,True,False,False,False,-1,-1,10,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,42,2353,True,-17,False,False,False,False,False,True,False,False,False,False,False,False,False,4,4,4,5,False,True,True,False,False,False,-1,10,10,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,41,68943,False,0,False,False,False,False,False,False,False,True,False,False,False,False,False,2,2,4,7,True,False,False,True,False,False,10,-1,-1,10,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,35,1764615,False,0,False,False,False,False,False,False,False,False,False,False,False,True,False,1,1,-1,3,False,False,False,False,False,True,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
